[A1] Crawl inventory: https://thongtaccongquangninh.com
[A1] URL publish audit: 87
  [28/87] https://thongtaccongquangninh.com/hut-be-phot-cong-ty-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,Service,FAQPage metaLen=156
  [29/87] https://thongtaccongquangninh.com/hut-be-phot-dam-ha/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=158
  [30/87] https://thongtaccongquangninh.com/hut-be-phot-dong-trieu/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,Article,FAQPage,Service metaLen=157
  [31/87] https://thongtaccongquangninh.com/hut-be-phot-ha-long/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Article,Service,FAQPage metaLen=152
  [32/87] https://thongtaccongquangninh.com/hut-be-phot-hai-ha/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=157
  [33/87] https://thongtaccongquangninh.com/hut-be-phot-khach-san-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=159
  [34/87] https://thongtaccongquangninh.com/hut-be-phot-khan-cap-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=160
  [35/87] https://thongtaccongquangninh.com/hut-be-phot-khu-cong-nghiep-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=151
  [36/87] https://thongtaccongquangninh.com/hut-be-phot-khu-nha-tro-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=154
  [37/87] https://thongtaccongquangninh.com/hut-be-phot-mong-cai/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,Article,FAQPage,Service metaLen=155
  [38/87] https://thongtaccongquangninh.com/hut-be-phot-nha-hang-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=157
  [39/87] https://thongtaccongquangninh.com/hut-be-phot-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Article,Service,VideoObject,FAQPage,HowTo metaLen=151
  [40/87] https://thongtaccongquangninh.com/hut-be-phot-quang-yen/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,Article,Service,FAQPage metaLen=158
  [41/87] https://thongtaccongquangninh.com/hut-be-phot-tien-yen/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=157
  [42/87] https://thongtaccongquangninh.com/hut-be-phot-uong-bi/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Article,Service,FAQPage metaLen=158
  [43/87] https://thongtaccongquangninh.com/hut-be-phot-van-don/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,Article,Service,FAQPage metaLen=152
  [44/87] https://thongtaccongquangninh.com/hut-ham-cau-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,Service,FAQPage metaLen=158
  [45/87] https://thongtaccongquangninh.com/lien-he/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Article,ContactPage,FAQPage metaLen=153
  [46/87] https://thongtaccongquangninh.com/mui-hoi-cong-nguyen-nhan-xu-ly/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage metaLen=152
